,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
163,2001806338,1091117222570,2.4,0.7,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
164,2001806338,1091117222570,1.33,0.7,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
165,2001806304,1091117222360,1.27,0.71,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
166,2001806304,1091117222360,2.4,0.71,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
167,2001806304,1091117222360,1.33,0.71,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
168,2001806273,1091117222194,1.27,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
169,2001806273,1091117222194,2.4,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
170,2001806273,1091117222194,1.33,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
171,2001806273,1091117222194,1.15,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
172,2001806229,1091117222080,1.27,0.71,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
173,2001806229,1091117222080,2.4,0.71,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
174,2001806229,1091117222080,1.33,0.71,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
175,2001821750,1091121034350,1.65,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
176,2001821750,1091121034350,3.5,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
177,2001821750,1091121034350,2.4,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
178,2001821679,1091121031745,1.65,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
179,2001807970,1091117327474,1.65,4.13,d,d,Forward charges,1.25,90.19999999999999,403.8,313.6
180,2001807970,1091117327474,6.0,4.13,d,d,Forward charges,1.25,90.19999999999999,403.8,313.6
181,2001806733,1091117226674,1.65,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
182,2001806733,1091117226674,1.12,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
183,2001806733,1091117226674,2.4,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
184,2001806733,1091117226674,2.1,1.13,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
185,2001816131,1091119367193,3.5,0.7,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
186,2001816131,1091119367193,1.02,0.7,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
187,2001812854,1091118548333,3.5,2.94,d,d,Forward charges,1.25,90.19999999999999,269.4,179.2
188,2001812854,1091118548333,1.12,2.94,d,d,Forward charges,1.25,90.19999999999999,269.4,179.2
189,2001812854,1091118548333,5.0,2.94,d,d,Forward charges,1.25,90.19999999999999,269.4,179.2
190,2001807613,1091117333251,3.5,1.04,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
191,2001807613,1091117333251,2.4,1.04,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
192,2001825261,1091121981575,1.37,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
193,2001825261,1091121981575,0.1,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
194,2001825261,1091121981575,1.12,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
195,2001825261,1091121981575,2.4,1.6,d,d,Forward and RTO charges,1.25,90.19999999999999,345.0,254.8
196,2001810549,1091117806263,1.37,1.86,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
197,2001810549,1091117806263,2.4,1.86,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
198,2001810549,1091117806263,2.32,1.86,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
199,2001823564,1091121666133,1.12,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
200,2001821502,1091121185863,1.12,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
201,2001821502,1091121185863,1.1,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
202,2001821284,1091120962515,1.12,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
203,2001821284,1091120962515,0.65,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
204,2001817093,1091121485824,1.12,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
205,2001817093,1091121485824,1.2,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
206,2001817093,1091121485824,1.0,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
207,2001817093,1091121485824,2.1,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
208,2001817093,1091121485824,1.4,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
209,2001817093,1091121485824,1.15,1.3,b,b,Forward and RTO charges,0.5,61.3,151.1,89.8
210,2001811192,1091117957780,1.12,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
211,2001811192,1091117957780,1.2,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
212,2001811192,1091117957780,1.0,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
213,2001811192,1091117957780,1.4,1.13,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
214,2001808102,1091117435005,1.12,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
215,2001808102,1091117435005,2.4,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
216,2001808102,1091117435005,1.15,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
217,2001808102,1091117435005,1.3,1.28,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
218,2001807415,1091117325094,1.12,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
219,2001807415,1091117325094,2.4,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
220,2001807415,1091117325094,1.2,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
221,2001807362,1091117324394,1.12,2.0,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
222,2001807036,1091117323005,1.12,1.64,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
223,2001807036,1091117323005,1.15,1.64,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
224,2001806616,1091117225484,1.12,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
225,2001806616,1091117225484,2.4,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
226,2001806616,1091117225484,1.21,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
227,2001806616,1091117225484,1.2,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
228,2001806616,1091117225484,2.5,1.08,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
229,2001806567,1091117224902,1.12,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
230,2001806567,1091117224902,1.2,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
231,2001806567,1091117224902,2.9,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
232,2001806567,1091117224902,1.6,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
233,2001806567,1091117224902,1.5,1.16,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
234,2001806408,1091117222931,1.12,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
235,2001806408,1091117222931,1.0,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
236,2001806408,1091117222931,1.65,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
237,2001806408,1091117222931,5.52,2.5,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
238,2001822466,1091121305541,1.12,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
239,2001822466,1091121305541,2.4,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
240,2001821185,1091120959225,2.4,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
241,2001821185,1091120959225,1.33,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
242,2001821185,1091120959225,1.21,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
243,2001821185,1091120959225,2.9,2.1,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
244,2001811604,1091118004245,2.4,0.8,b,b,Forward charges,0.5,61.3,61.3,0.0
245,2001811604,1091118004245,1.21,0.8,b,b,Forward charges,0.5,61.3,61.3,0.0
246,2001811604,1091118004245,1.2,0.8,b,b,Forward charges,0.5,61.3,61.3,0.0
247,2001807976,1091117327496,2.4,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
248,2001807976,1091117327496,1.21,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
249,2001807976,1091117327496,1.2,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
250,2001807960,1091117327312,2.4,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
251,2001807960,1091117327312,2.1,1.0,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
252,2001812838,1091118547832,1.12,0.6,b,b,Forward and RTO charges,0.5,61.3,102.3,41.0
253,2001812838,1091118547832,1.1,0.6,b,b,Forward and RTO charges,0.5,61.3,102.3,41.0
254,2001812650,1091118591534,1.12,0.61,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
255,2001812650,1091118591534,1.15,0.61,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
256,2001821742,1091121034114,2.4,0.15,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
257,2001811306,1091117958163,2.4,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
258,2001811306,1091117958163,1.65,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
259,2001811306,1091117958163,3.0,1.1,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
260,2001811229,1091117957942,2.4,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
261,2001811229,1091117957942,1.0,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
262,2001811229,1091117957942,1.65,0.6,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
263,2001810104,1091117804200,2.4,0.76,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
264,2001810104,1091117804200,1.21,0.76,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
265,2001808286,1091117435602,2.4,0.77,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
266,2001808286,1091117435602,1.21,0.77,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
267,2001807930,1091117327695,2.4,0.15,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
268,2001807012,1091117229345,2.4,0.15,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
269,2001806686,1091117229555,2.4,0.15,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
270,2001821766,1091121034641,1.2,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
271,2001809934,1091117803511,2.4,0.82,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
272,2001809934,1091117803511,1.21,0.82,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
273,2001806801,1091117227816,2.4,1.35,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
274,2001806801,1091117227816,1.21,1.35,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
275,2001806226,1091117222065,2.4,0.68,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
276,2001808675,1091117437050,0.65,1.2,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
277,2001808675,1091117437050,1.65,1.2,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
278,2001808675,1091117437050,1.13,1.2,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
279,2001808675,1091117437050,1.7,1.2,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
280,2001808675,1091117437050,5.0,1.2,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
281,2001821190,1091120959015,6.0,1.2,d,d,Forward and RTO charges,1.25,90.19999999999999,258.9,168.7
282,2001808832,1091117437864,6.0,2.47,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
283,2001818390,1091120014461,1.21,0.8,e,e,Forward and RTO charges,1.5,112.1,213.5,101.4
284,2001818390,1091120014461,2.4,0.8,e,e,Forward and RTO charges,1.5,112.1,213.5,101.4
285,2001818390,1091120014461,1.2,0.8,e,e,Forward and RTO charges,1.5,112.1,213.5,101.4
286,2001807058,1091117323112,2.9,1.15,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
287,2001807058,1091117323112,0.65,1.15,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
288,2001807058,1091117323112,1.13,1.15,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
289,2001807058,1091117323112,1.2,1.15,b,b,Forward charges,0.5,61.3,89.6,28.299999999999997
290,2001806232,1091117222124,2.4,1.3,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
291,2001806232,1091117222124,1.37,1.3,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
292,2001820978,1091120922803,1.65,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
293,2001820978,1091120922803,3.5,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
294,2001811363,1091117958395,1.65,0.59,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
295,2001811363,1091117958395,1.13,0.59,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
296,2001811363,1091117958395,0.65,0.59,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
297,2001808801,1091117437680,1.65,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
298,2001808801,1091117437680,0.65,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
299,2001808801,1091117437680,1.13,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
300,2001808801,1091117437680,2.1,0.8,d,d,Forward charges,1.25,90.19999999999999,90.2,1.4210854715202004e-14
301,2001808118,1091117435134,1.65,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
302,2001808118,1091117435134,0.65,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
303,2001808118,1091117435134,1.13,0.5,b,b,Forward charges,0.5,61.3,33.0,-28.299999999999997
304,2001820690,1091121306101,0.65,0.15,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
305,2001816684,1091119398844,1.2,0.99,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
306,2001816684,1091119398844,1.0,0.99,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
307,2001809794,1091117795531,1.2,1.5,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
308,2001809794,1091117795531,3.5,1.5,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
309,2001809794,1091117795531,1.65,1.5,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
310,2001809794,1091117795531,2.32,1.5,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
311,2001809794,1091117795531,5.0,1.5,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
312,2001809794,1091117795531,0.3,1.5,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
313,2001817160,1091119630264,3.5,0.7,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
314,2001806458,1091117223244,3.5,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
315,2001815688,1091119169701,1.2,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
316,2001815688,1091119169701,1.0,0.2,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
317,2001811305,1091121846136,1.2,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
318,2001811305,1091121846136,2.1,0.5,d,d,Forward charges,1.25,90.19999999999999,45.4,-44.79999999999999
319,2001808739,1091117437293,1.2,1.63,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
320,2001808739,1091117437293,1.0,1.63,d,d,Forward charges,1.25,90.19999999999999,179.8,89.60000000000002
321,2001806210,1091117221940,1.2,2.92,b,b,Forward charges,0.5,61.3,174.5,113.2
322,2001806210,1091117221940,1.0,2.92,b,b,Forward charges,0.5,61.3,174.5,113.2
323,2001809917,1091121482593,2.1,0.6,d,d,Forward and RTO charges,1.25,90.19999999999999,172.8,82.60000000000002
324,2001806768,1091117227116,2.1,1.02,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
325,2001806885,1091117229776,2.1,1.0,b,b,Forward charges,0.5,61.3,61.3,0.0
326,2001808295,1091117435661,1.15,0.2,e,e,Forward and RTO charges,1.5,112.1,107.3,-4.799999999999997
327,2001808295,1091117435661,1.3,0.2,e,e,Forward and RTO charges,1.5,112.1,107.3,-4.799999999999997
328,2001806251,1091117222146,1.15,1.27,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
329,2001806251,1091117222146,1.3,1.27,d,d,Forward charges,1.25,90.19999999999999,135.0,44.80000000000001
330,2001806233,1091117222135,1.15,0.78,b,b,Forward charges,0.5,61.3,61.3,0.0
331,2001806233,1091117222135,1.3,0.78,b,b,Forward charges,0.5,61.3,61.3,0.0
332,2001807328,1091117324346,4.9,2.28,d,d,Forward charges,1.25,90.19999999999999,224.6,134.4
